91.750,-2.8515624;
91.790,-2.8515624;
91.800,-2.8515624;
91.820,-2.8515624;
91.830,-2.8515624;
91.840,-2.8515624;
91.860,-2.8515624;
91.865,-2.8515624;
91.875,-2.8515624;
91.880,-2.8515624;
91.885,-2.8515624;
91.900,-2.8515624;
101.862,-2.8515624;
101.865,-2.8515625;
201.880,-2.2265625;
201.887,-1.30859375;
201.888,-1.103515625;
201.905,-0.4296875;
201.907,-2.841796875;
201.917,-1.162109375;
201.932,-1.806640625;
201.937,-1.73828125;
201.946,-1.875;
201.952,-2.0703125;
201.955,-1.982421875;
201.956,-2.2265625;
201.958,-1.640625;
201.959,-1.787109375;
301.873,-2.138671875;
301.875,-1.806640625;
301.877,-1.884765625;
401.882,-0.80078125;
401.887,-1.376953125;
401.904,0.654296875;
401.910,-0.419921875;
401.918,-0.21484375;
401.922,-1.572265625;
401.930,-0.7568359375;
401.940,-0.4296875;
401.943,-1.46484375;
401.945,0.41015625;
401.950,-0.849609375;
401.951,-2.177734375;
401.953,-1.3671875;
401.954,-2.59765625;
401.960,-2.03125;
401.962,-1.9921875;
401.973,-2.1484375;
501.888,-1.845703125;
501.913,-0.46875;
501.920,1.97998046875;
501.922,-1.5283203125;
501.931,-1.18408203125;
501.939,-2.01171875;
501.942,-0.361328125;
501.943,-1.6259765625;
501.946,-1.3916015625;
501.949,-0.498046875;
501.950,-1.85546875;
501.958,0.05859375;
501.960,-0.8544921875;
